502863,610661,130803,037,260903,30649801,6,8.55
502863,614870,140803,038,011003,33962908,18,8.44
502863,614852,140803,038,010903,33962907,12,7.56
502863,614167,140803,025,150903,30786693,12,7.56
502863,614167,140803,025,150903,30786694,24,8.44
502863,614167,140803,025,150903,30786696,6,8.44
502863,611236,140803,038,100903,30785726,6,7.56
502863,618125,140803,006,150903,34133805,6,8.18
502863,618125,140803,006,150903,34133807,6,9.32
502863,618125,140803,006,150903,34133808,6,9.32
502863,617763,140803,043,100903,33999892,1,7.47
502863,620440,140803,025,150903,33982105,18,7.56
502863,620440,140803,025,150903,33982107,9,8.44
502863,620154,140803,025,150903,33961307,12,7.56
502863,620043,140803,025,150903,33950302,12,6.83
502863,621104,150803,025,150903,34147402,6,6.99
502863,621078,150803,025,150903,34144402,6,8.02
502863,621039,150803,025,150903,34138273,6,8.02
502863,621039,150803,025,150903,34138274,12,9.11
502863,621039,150803,025,150903,34138275,6,9.11
502863,621039,150803,025,150903,34138277,6,10.25
